3 Algae 1,3 Rotifers 1,16 Algae 1,16 Rotifers 1,35 Algae 1,35 Rotifers 1,45 Algae 1,45 Rotifers 1
36666.66667,5.733333333,16111.11111,6.222222222,139444.4444,5.44,60000,2.095238095
6111.111111,3,12222.22222,2.08,93333.33333,4.529411765,50555.55556,0.413793103
12222.22222,3.793103448,41111.11111,1.04,23888.88889,2.347826087,53333.33333,0.487804878
25000,1.8,33888.88889,0.357142857,36111.11111,0.846153846,50555.55556,0.111111111
38333.33333,0.685714286,62777.77778,0.2,45555.55556,0.516129032,68333.33333,0.171428571
38333.33333,0.590909091,66111.11111,0.25,105555.5556,0.358974359,79444.44444,0.272727273
72222.22222,0.35,60000,0.093023256,98888.88889,0.558139535,121111.1111,0.181818182
142222.2222,0.972972973,33888.88889,0.357142857,118333.3333,0.4,176111.1111,0.390243902
325555.5556,0.972972973,28333.33333,0.357142857,205555.5556,0.4,176111.1111,0.390243902
363888.8889,2.689655172,8333.333333,1.307692308,258333.3333,2.074074074,258888.8889,0.780487805
830000,3.414634146,16666.66667,1.235294118,367058.8235,2.060606061,576666.6667,1.05
694444.4444,5.933333333,17777.77778,0.533333333,215555.5556,4.074074074,499166.6667,0.702702703
170000,9.885714286,36666.66667,0.540540541,96111.11111,7.481481481,792500,0.697674419
12222.22222,9.266666667,50555.55556,0.133333333,20000,6.64,698888.8889,0.631578947
7777.777778,9.333333333,50000,0.064516129,5555.555556,6.117647059,787500,1.111111111
7222.222222,5.885714286,47222.22222,0.428571429,6666.666667,3.454545455,1321666.667,1.227272727
12222.22222,3.085714286,50555.55556,0.148148148,9444.444444,1.24137931,1031428.571,1.666666667
20000,2,95555.55556,0.088495575,31111.11111,0.848484848,1305000,1.727272727
40000,1.2,85000,0.967741935,45555.55556,0.4,1015714.286,1.179487179
59444.44444,1.194029851,113333.3333,0.96969697,94444.44444,0.266666667,1358000,0.95
122222.2222,1.0625,67777.77778,2.285714286,162222.2222,0,1305000,1.333333333
239444.4444,1.722222222,12777.77778,4.380952381,317222.2222,0.363636364,1218333.333,1.454545455
362777.7778,2.256410256,7777.777778,2.972972973,523846.1538,0.733333333,1378333.333,1.545454545
505384.6154,1.882352941,13333.33333,1.575757576,1148333.333,1.096774194,1675000,1.681818182
683000,3.526315789,32777.77778,0.954545455,1296666.667,1.176470588,1617500,2.090909091
994285.7143,4.052631579,82777.77778,0.829268293,1381666.667,1.393939394,1248333.333,2
1000000,3.405405405,177777.7778,0.514285714,1170000,2.157894737,1682500,1.909090909
985714.2857,2.875,415333.3333,0.75862069,1026250,2.666666667,878750,2.057142857
1016666.667,2.888888889,396875,1.44,1075000,2.444444444,997142.8571,2.057142857
1064285.714,3.931034483,54444.44444,3.870967742,604545.4545,4.714285714,908750,2.666666667
1065000,3.588235294,15555.55556,8.457142857,394117.6471,6.076923077,767777.7778,3.909090909
1020000,3.625730994,12222.22222,6.25,123888.8889,10.33333333,865000,4.228571429
886250,3.333333333,9444.444444,2.181818182,7222.222222,11.5862069,728000,4.4375
860000,4.086956522,13888.88889,1.076923077,6111.111111,6.857142857,776250,4.4
540000,5.172413793,11666.66667,0.1875,6666.666667,7.733333333,442857.1429,5.095238095
447142.8571,6.37037037,29444.44444,0.214285714,16666.66667,3.92,337222.2222,5.444444444
390000,6,61111.11111,0,17222.22222,3.297297297,175000,5.727272727
208888.8889,7.944444444,54444.44444,0.046511628,45000,2.125,84444.44444,9
34444.44444,8.685714286,42777.77778,0.0625,66111.11111,1.875,49444.44444,7.238095238
